date,sw_irrad,lw_irrad,humidity,temperature,wind_speed
2007-01-01,12.94,293.2,94.5,-3.399,6.945
2007-01-02,19.44,269.7,91.3,-10.45,7.53
2007-01-03,52.12,261.9,93.1,-7.03,2.352
2007-01-04,27.38,291.1,95.2,-3.753,5.173
2007-01-05,42.25,240.4,60.82,-3.041,2.526
2007-01-06,53.01,235.2,64.71,-1.698,3.194
2007-01-07,41.88,281.1,86.6,-2.641,3.713
2007-01-08,33.24,286.7,84.2,-3.294,4.914
2007-01-09,29.78,300.7,82.9,2.447,3.322
2007-01-10,41.01,263.8,57.69,3.358,5.59
2007-01-11,59.26,253.4,59.94,-1.128,4.647
2007-01-12,29.6,269.9,71.9,-0.002,4.404
2007-01-13,64.45,217.9,17.12,5.762,3.917
2007-01-14,66.8,211.5,24.88,1.32,3.493
2007-01-15,67.15,224.2,16.13,2.492,3.2
2007-01-16,56.39,245.3,50.3,-1.087,2.632
2007-01-17,55.72,266.0,80.1,-3.566,2.978
2007-01-18,23.61,304.9,93.2,-1.461,6.287
2007-01-19,51.71,287.1,83.7,1.104,6.991
2007-01-20,84.0,248.8,53.74,2.794,3.99
2007-01-21,47.71,261.0,68.49,-3.734,3.555
2007-01-22,56.03,266.0,40.89,-3.657,3.457
2007-01-23,34.23,277.7,81.6,-5.738,3.665
2007-01-24,68.15,247.7,86.1,-16.44,1.652
2007-01-25,118.9,214.0,68.07,-14.72,1.841
2007-01-26,111.1,187.4,63.46,-13.75,2.411
2007-01-27,113.8,182.3,59.0,-9.26,2.182
2007-01-28,119.2,184.1,26.0,-3.171,2.766
2007-01-29,106.9,194.1,21.34,-1.481,2.445
2007-01-30,119.9,196.3,22.55,-0.844,2.76
2007-01-31,122.4,195.4,24.79,-1.26,3.017
2007-02-01,118.8,216.5,37.62,0.749,2.015
2007-02-02,121.4,215.5,45.54,0.038,2.466
2007-02-03,117.7,202.9,32.6,0.834,2.235
2007-02-04,129.8,196.4,21.18,0.914,2.61
2007-02-05,119.4,204.1,37.05,-2.334,3.634
2007-02-06,51.91,271.9,84.9,-6.983,3.443
2007-02-07,59.59,256.9,75.4,-6.879,4.517
2007-02-08,32.63,271.9,80.0,-5.095,6.146
2007-02-09,135.4,189.0,36.48,-4.524,3.853
2007-02-10,51.6,251.1,72.3,-6.063,4.113
2007-02-11,58.79,260.0,80.1,-5.294,5.331
2007-02-12,30.64,292.2,92.9,-4.584,6.136
2007-02-13,94.2,248.6,81.7,-7.57,5.004
2007-02-14,54.86,292.9,72.5,-1.098,5.881
2007-02-15,162.9,213.9,39.65,-1.03,5.011
2007-02-16,164.9,197.9,14.35,2.524,3.453
2007-02-17,111.8,244.0,20.83,2.531,3.033
2007-02-18,68.76,276.6,71.1,-3.793,1.839
2007-02-19,163.0,218.3,57.58,-3.637,2.767
2007-02-20,174.0,185.3,28.18,-2.77,2.448
2007-02-21,161.3,209.9,48.45,-4.026,2.853
2007-02-22,162.0,238.3,71.5,-3.98,2.576
2007-02-23,151.0,229.1,66.22,-4.278,2.546
2007-02-24,60.3,273.4,66.22,-4.566,5.259
2007-02-25,49.74,282.3,89.2,-5.943,5.953
2007-02-26,66.4,278.1,92.9,-7.91,4.309
2007-02-27,89.6,268.5,86.7,-4.852,3.685
2007-02-28,72.9,290.3,90.5,-3.142,5.094
2007-03-01,48.56,287.1,88.2,-3.924,6.269
2007-03-02,77.4,295.8,96.1,-3.511,6.718
2007-03-03,58.68,285.2,96.7,-2.94,6.631
2007-03-04,179.6,217.2,41.6,0.758,3.174
2007-03-05,99.8,246.5,60.72,-1.264,4.181
2007-03-06,158.3,229.3,48.01,-1.684,2.64
2007-03-07,165.8,254.8,84.3,-4.635,3.16
2007-03-08,134.2,275.4,89.9,-5.117,1.622
2007-03-09,167.6,224.4,59.08,-5.105,2.082
2007-03-10,214.8,215.0,57.14,-5.824,5.676
2007-03-11,224.0,206.0,37.5,-0.644,8.06
2007-03-12,220.7,202.7,44.09,-1.211,2.567
2007-03-13,218.7,206.6,37.45,-0.824,2.508
2007-03-14,226.4,207.6,28.64,0.357,2.855
2007-03-15,224.6,211.8,40.67,0.349,3.074
2007-03-16,222.2,207.7,48.87,-0.756,2.579
2007-03-17,204.3,220.6,49.64,-0.634,1.879
2007-03-18,217.1,252.2,71.5,-0.975,4.484
2007-03-19,136.9,259.8,89.9,-11.15,4.087
2007-03-20,121.2,260.8,88.6,-13.14,2.205
2007-03-21,162.6,190.7,76.8,-13.62,2.614
2007-03-22,178.8,221.5,70.9,-13.43,1.782
2007-03-23,125.2,266.4,85.5,-11.54,1.646
2007-03-24,187.9,223.4,82.6,-11.78,1.514
2007-03-25,152.3,242.4,63.8,-6.386,4.459
2007-03-26,227.6,246.4,65.72,-3.921,6.204
2007-03-27,246.2,222.5,70.7,-5.401,2.264
2007-03-28,251.8,201.2,57.84,-5.635,2.773
2007-03-29,240.0,242.9,72.9,-5.45,2.373
2007-03-30,205.6,240.8,78.7,-7.05,2.591
2007-03-31,240.3,211.4,68.11,-5.793,1.877
2007-04-01,186.6,231.5,64.11,-3.605,1.769
2007-04-02,220.1,240.1,54.59,-0.444,2.867
2007-04-03,184.3,283.4,83.7,-2.432,1.423
2007-04-04,178.1,261.0,92.8,-5.234,1.959
2007-04-05,283.8,203.6,59.22,-1.971,2.099
2007-04-06,281.1,213.7,48.26,0.553,1.893
2007-04-07,270.3,234.3,54.11,1.152,1.872
2007-04-08,255.3,243.8,71.6,-0.125,2.114
2007-04-09,289.4,227.5,65.99,-0.277,2.337
2007-04-10,293.7,213.8,51.42,0.732,2.834
2007-04-11,295.1,215.4,39.44,2.844,2.469
2007-04-12,247.8,243.6,46.38,3.148,6.07
2007-04-13,222.5,270.0,61.01,3.085,5.816
2007-04-14,318.2,242.3,47.14,3.901,6.577
2007-04-15,300.6,228.2,41.32,4.848,3.03
2007-04-16,281.3,237.4,42.6,5.51,2.692
2007-04-17,276.8,245.0,57.46,4.084,2.392
2007-04-18,226.0,252.5,61.8,2.977,2.172
2007-04-19,287.1,238.7,52.37,3.689,2.164
