profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,day_end,month_end,year_end,x_lambert2e,y_lambert2e,altitude,annual_smb
Langue,2003,1,10,10,2003,24,10,2004,957179.38,111265.87,2051.55,-6.48
Langue,2003,2,10,10,2003,24,10,2004,957057.62,111551.41,2019.01,-6.3
Langue,2003,3,10,10,2003,24,10,2004,957043.81,111698.08,2011.19,-7.02
Langue,2003,4,10,10,2003,24,10,2004,956917.99,111948.32,1992.11,-6.79
Langue,2003,5,10,10,2003,24,10,2004,956693.4,112240.32,1959.97,-7.24
Langue,2003,6,10,10,2003,24,10,2004,955627.8,113156.68,1801.68,-10.98
Langue,2003,7,10,10,2003,24,10,2004,955599.87,113284.08,1789.55,-10.53
Langue,2003,8,10,10,2003,24,10,2004,955635.43,113868.26,1700.54,-6.84
Langue,2003,9,10,10,2003,24,10,2004,955511.81,114046.72,1667.74,-10.21
Langue,2003,10,10,10,2003,24,10,2004,955463.46,114236.99,1628.64,-10.17
