profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Leschaux,2014,1,28,9,2015,960362.2,108676.47,2625.0,7,9,2016,960419.08,108770.0,2594.82,116.15
Leschaux,2014,2,28,9,2015,960461.85,108952.58,2544.33,7,9,2016,960462.01,109065.83,2512.12,120.16
Leschaux,2014,3,28,9,2015,960390.32,109330.57,2421.63,7,9,2016,960342.6,109412.11,2395.35,100.24
Leschaux,2014,4,28,9,2015,960247.48,109483.4,2378.24,11,8,2016,960207.47,109533.29,2368.8,73.64
Leschaux,2014,5,28,9,2015,960085.47,109718.18,2326.01,16,7,2016,960053.31,109747.32,2320.93,54.43
Leschaux,2015,1,28,9,2015,960281.52,108572.25,2663.56,7,9,2016,960347.94,108663.34,2632.31,119.62
Leschaux,2015,2,28,9,2015,960435.94,108838.62,2579.71,7,9,2016,960460.84,108950.44,2545.92,121.55
Leschaux,2015,3,28,9,2015,960448.48,109202.29,2472.83,7,9,2016,960407.62,109306.63,2432.68,118.9
Leschaux,2015,4,28,9,2015,960297.88,109474.84,2381.09,7,9,2016,960253.16,109534.56,2369.16,79.16
Leschaux,2015,5,28,9,2015,960129.51,109673.37,2337.28,7,9,2016,960087.98,109711.22,2326.53,59.62
Leschaux,2015,6,28,9,2015,959752.51,110017.06,2265.69,7,9,2016,959725.53,110038.59,2259.61,36.62
Leschaux,2015,7,16,7,2016,959294.2,110197.38,2216.82,7,9,2016,959289.75,110198.72,2213.44,32.01
