profile_name,stake_year_setup,stake_number,day_start,month_start,year_start,x_lambert2e_start,y_lambert2e_start,altitude_start,day_end,month_end,year_end,x_lambert2e_end,y_lambert2e_end,altitude_end,annual_speed
Talefre,2012,1,5,9,2014,961254.99,112222.47,2748.9,28,9,2015,961253.26,112222.68,2745.09,1.64
Talefre,2012,2,5,9,2014,960884.03,112167.03,2731.04,28,9,2015,960880.4,112166.43,2727.82,3.46
Talefre,2012,3,5,9,2014,960492.01,112035.99,2689.14,28,9,2015,960485.7,112034.06,2683.66,6.21
Talefre,2012,4,5,9,2014,960101.3,111918.5,2617.74,12,8,2015,960098.12,111917.84,2613.22,3.48
Talefre,2012,5,5,9,2014,959788.65,111630.81,2587.45,12,8,2015,959786.25,111629.82,2583.1,2.78
Talefre,2014,1,5,9,2014,961265.83,112223.11,2749.51,28,9,2015,961264.03,112223.21,2745.7,1.7
Talefre,2014,2,5,9,2014,960896.93,112169.67,2731.59,28,9,2015,960893.13,112168.97,2729.07,3.63
Talefre,2014,3,5,9,2014,960500.22,112040.56,2690.3,28,9,2015,960494.13,112037.87,2684.75,6.26
Talefre,2014,4,5,9,2014,960123.7,111913.99,2622.98,28,9,2015,960119.66,111913.37,2616.35,3.85
Talefre,2014,5,5,9,2014,959797.49,111636.98,2588.03,28,9,2015,959794.94,111635.63,2582.56,2.71
